Rank,Player,Position,"Pos Rank",Team,Age,Value
339,"Joe Milton",QB,65,DAL,26.3,29
340,"Darnell Washington",TE,46,PIT,24.8,29
341,"Jam Miller",RB,83,NE,0.0,29
342,"Deion Burks",WR,111,IND,23.4,29
343,"Jarrett Stidham",QB,66,DEN,29.8,28
344,"Christian Kirk",WR,112,SF,29.6,27
345,"Tahj Brooks",RB,84,CIN,24.1,26
346,"Colby Parkinson",TE,47,LAR,27.4,26
347,"Marlin Klein",TE,48,HOU,23.7,25
348,"Andrei Iosivas",WR,113,CIN,26.7,24
349,"Jahan Dotson",WR,114,ATL,26.2,23
350,"DeMario Douglas",WR,115,NE,25.5,23
351,"Odell Beckham",WR,116,NYG,33.6,23
352,"Jaleel McLaughlin",RB,85,DEN,25.7,22
353,"Mike Gesicki",TE,49,CIN,30.7,22
354,"Zavion Thomas",WR,117,CHI,22.3,21
355,"Efton Chism",WR,118,NE,24.6,20
356,"Jimmy Horn",WR,119,CAR,23.7,20
357,"Xavier Hutchinson",WR,120,HOU,26.0,20
358,"Zonovan Knight",RB,86,ARI,25.2,20
359,"Andy Dalton",QB,67,PHI,38.6,19
360,"Tutu Atwell",WR,121,MIA,26.7,19
361,"Tanner Koziol",TE,50,JAX,22.4,19
362,"Chris Brooks",RB,87,GB,26.4,18
363,"Devin Singletary",RB,88,NYG,28.8,18
364,"Tyler Higbee",TE,51,LAR,33.4,18
365,"Tanner McKee",QB,68,PHI,26.1,18
366,"Olamide Zaccheaus",WR,122,ATL,28.9,17
367,"Jordan Whittington",WR,123,LAR,25.7,17
368,"Elijah Higgins",TE,52,ARI,25.6,17
369,"Phil Mafah",RB,89,DAL,23.6,17
370,"Isaiah Davis",RB,90,NYJ,24.3,16
371,"Jerome Ford",RB,91,WAS,26.7,16
372,"Kenny Pickett",QB,69,CAR,28.0,16
373,"Luke Musgrave",TE,53,GB,25.8,16
374,"Kenny McIntosh",RB,92,SEA,26.3,16
375,"Ryan Flournoy",WR,124,DAL,26.6,15
376,"Darius Slayton",WR,125,NYG,29.4,15
377,"CJ Daniels",WR,126,LAR,24.4,15
378,"Erick All",TE,54,CIN,25.7,14
379,"Will Shipley",RB,93,PHI,23.8,14
380,"Mack Hollins",WR,127,NE,32.7,14
381,"Arian Smith",WR,128,NYJ,24.7,14
382,"Dameon Pierce",RB,94,PHI,26.3,14
383,"Xavier Restrepo",WR,129,TEN,24.2,14
384,"Seth McGowan",RB,95,IND,24.6,14
385,"John Metchie",WR,130,CAR,25.9,13
386,"Jalen Tolbert",WR,131,MIA,27.3,13
387,"Isaac Guerendo",RB,96,SF,25.9,13
388,"Luke McCaffrey",WR,132,WAS,25.2,13
389,"JuJu Smith-Schuster",WR,133,NYG,29.5,13
390,"Malachi Corley",WR,134,CLE,24.2,13
391,"Kyle Allen",QB,70,BUF,30.3,13
392,"Sione Vaki",RB,97,DET,24.9,13
393,"Kalel Mullings",RB,98,TEN,23.7,13
394,"Roschon Johnson",RB,99,CHI,25.4,13
395,"Tyquan Thornton",WR,135,KC,25.8,13
396,"Isaiah Williams",WR,136,NYJ,25.4,12
397,"Roman Wilson",WR,137,PIT,25.0,12
398,"Elijah Moore",WR,138,PHI,26.2,12
399,"Savion Williams",WR,139,GB,24.5,12
400,"Tyler Conklin",TE,55,DET,30.9,12
401,"Jordan Watkins",WR,140,SF,24.3,12
402,"Theo Wease",WR,141,MIA,25.0,12
403,"Ty Johnson",RB,100,BUF,28.7,12
404,"Luke Schoonmaker",TE,56,DAL,27.7,12
405,"KeAndre Lambert-Smith",WR,142,LAC,24.6,12
406,"Cade Stover",TE,57,HOU,26.0,12
407,"Devontez Walker",WR,143,BAL,25.0,11
408,"Joshua Palmer",WR,144,BUF,26.7,11
409,"Greg Dulcich",TE,58,MIA,26.2,11
410,"Dyami Brown",WR,145,WAS,26.6,10
411,"Michael Carter",RB,101,TEN,27.1,10
412,"Daniel Bellinger",TE,59,TEN,25.7,10
413,"KaVontae Turpin",WR,146,DAL,29.9,10
414,"Jarquez Hunter",RB,102,LAR,23.4,10
415,"Noah Gray",TE,60,KC,27.1,9
416,"Jahdae Walker",WR,147,CHI,23.9,9
417,"Calvin Austin",WR,148,NYG,27.2,9
418,"Tyrod Taylor",QB,71,GB,36.8,9
419,"Jaylin Lane",WR,149,WAS,24.1,9
420,"Kendrick Bourne",WR,150,ARI,30.8,9
421,"Jawhar Jordan",RB,103,HOU,26.8,9
422,"Will Levis",QB,72,TEN,27.0,8
423,"Konata Mumpfield",WR,151,LAR,23.6,8
424,"Raheim Sanders",RB,104,CLE,24.0,8
